PT_Term,Clozapine_Event,Clozapine_NoEvent,Risperidone_Event,Risperidone_NoEvent,ROR,ROR_CI95_low,ROR_CI95_high,PRR,PRR_CI95_low,PRR_CI95_high,Chi_sq,IC,IC_025,IC_975,P_value,Signal
Respiratory tract infection,53,44002,0,15130,Inf,,Inf,Inf,,Inf,4.65,0.421,-0.17,1.013,NA,No Signal
Pneumonitis,17,44038,0,15130,Inf,,Inf,Inf,,Inf,1.49,0.412,-0.62,1.444,NA,No Signal
Empyema,15,44040,0,15130,Inf,,Inf,Inf,,Inf,1.32,0.41,-0.686,1.506,NA,No Signal
Pneumonia klebsiella,2,44053,0,15130,Inf,,Inf,Inf,,Inf,0.18,0.33,-2.357,3.017,NA,No Signal
Pneumonia viral,7,44048,0,15130,Inf,,Inf,Inf,,Inf,0.61,0.393,-1.177,1.964,NA,No Signal
Respiratory tract infection viral,2,44053,0,15130,Inf,,Inf,Inf,,Inf,0.18,0.33,-2.357,3.017,NA,No Signal
Pneumonia influenzal,3,44052,0,15130,Inf,,Inf,Inf,,Inf,0.26,0.357,-1.926,2.639,NA,No Signal
Pneumonia staphylococcal,2,44053,0,15130,Inf,,Inf,Inf,,Inf,0.18,0.33,-2.357,3.017,NA,No Signal
Pulmonary tuberculosis,6,44049,0,15130,Inf,,Inf,Inf,,Inf,0.53,0.388,-1.297,2.074,NA,No Signal
Idiopathic interstitial pneumonia,2,44053,0,15130,Inf,,Inf,Inf,,Inf,0.18,0.33,-2.357,3.017,NA,No Signal
Lung abscess,6,44049,0,15130,Inf,,Inf,Inf,,Inf,0.53,0.388,-1.297,2.074,NA,No Signal
Lower respiratory tract infection,237,43818,1,15129,81.83,11.48,583.38,81.39,11.42,580.18,20.21,0.419,0.138,0.699,1.11e-05,Positive Signal
Upper respiratory tract infection,27,44028,2,15128,4.64,1.1,19.51,4.64,1.1,19.49,1.36,0.316,-0.492,1.124,0.0363,No Signal
COVID-19 pneumonia,25,44030,2,15128,4.29,1.02,18.13,4.29,1.02,18.12,1.2,0.308,-0.53,1.146,0.0474,No Signal
Pneumonia,723,43332,75,15055,3.35,2.64,4.25,3.31,2.61,4.2,28.02,0.283,0.127,0.44,<1e-10,Positive Signal
Pneumonia aspiration,209,43846,40,15090,1.8,1.28,2.52,1.79,1.28,2.52,3.02,0.173,-0.112,0.458,0.000686,No Signal
Pneumonia bacterial,12,44043,3,15127,1.37,0.39,4.87,1.37,0.39,4.87,0.06,0.1,-1.051,1.251,0.623,No Signal
