Label,a,b,c,d,N_total,ROR,ROR_CI95_low,ROR_CI95_high,PRR,PRR_CI95_low,PRR_CI95_high,IC,IC_025,IC_975,P_value,Signal,ROR_reported,ROR_raw,ROR_backsolve,backsolve_ok
Composite pulmonary infection endpoint (primary),1177,42878,115,15015,59185,3.58,2.96,4.34,3.51,2.91,4.25,0.291,0.168,0.414,<1e-10,Positive,TRUE,3.5840118678475,3.58,TRUE
Pneumonia spectrum (subgroup),963,43092,114,15016,59185,2.94,2.42,3.58,2.9,2.39,3.52,0.264,0.129,0.4,<1e-10,Positive,TRUE,2.94360169429422,2.94,TRUE
Non-pneumonia lower respiratory tract infection (subgroup),237,43818,1,15129,59185,NR,NR,NR,NR,NR,NR,0.419,0.138,0.699,NR,Not positive,FALSE,81.8287689990415,81.83,TRUE
Special/other pulmonary infection terms (subgroup),145,43910,4,15126,59185,NR,NR,NR,NR,NR,NR,0.385,0.029,0.741,NR,Not positive,FALSE,12.4873035754953,12.49,TRUE
pneumonia,723,43332,75,15055,59185,3.35,2.64,4.25,3.31,2.61,4.2,0.283,0.127,0.44,<1e-10,Positive,TRUE,3.34926151573895,3.35,TRUE
pneumonia aspiration,209,43846,40,15090,59185,1.8,1.28,2.52,1.79,1.28,2.52,0.173,-0.112,0.458,0.000686,Not positive,TRUE,1.79823130958354,1.8,TRUE
lower respiratory tract infection,237,43818,1,15129,59185,NR,NR,NR,NR,NR,NR,0.419,0.138,0.699,NR,Not positive,FALSE,81.8287689990415,81.83,TRUE
upper respiratory tract infection,27,44028,2,15128,59185,NR,NR,NR,NR,NR,NR,0.316,-0.492,1.124,NR,Not positive,FALSE,4.63859362224039,4.64,TRUE
covid-19 pneumonia,25,44030,2,15128,59185,NR,NR,NR,NR,NR,NR,0.308,-0.53,1.146,NR,Not positive,FALSE,4.29479900068135,4.29,TRUE
respiratory tract infection,53,44002,0,15130,59185,NR,NR,NR,NR,NR,NR,0.421,-0.17,1.013,NR,Not positive,FALSE,,,TRUE
pneumonia bacterial,12,44043,3,15127,59185,NR,NR,NR,NR,NR,NR,0.1,-1.051,1.251,NR,Not positive,FALSE,1.37383920259746,1.37,TRUE
pneumonia viral,7,44048,0,15130,59185,NR,NR,NR,NR,NR,NR,0.393,-1.177,1.964,NR,Not positive,FALSE,,,TRUE
pneumonitis,17,44038,0,15130,59185,NR,NR,NR,NR,NR,NR,0.412,-0.62,1.444,NR,Not positive,FALSE,,,TRUE
empyema,15,44040,0,15130,59185,NR,NR,NR,NR,NR,NR,0.41,-0.686,1.506,NR,Not positive,FALSE,,,TRUE
idiopathic interstitial pneumonia,2,44053,0,15130,59185,NR,NR,NR,NR,NR,NR,0.33,-2.357,3.017,NR,Not positive,FALSE,,,TRUE
lung abscess,6,44049,0,15130,59185,NR,NR,NR,NR,NR,NR,0.388,-1.297,2.074,NR,Not positive,FALSE,,,TRUE
pulmonary tuberculosis,6,44049,0,15130,59185,NR,NR,NR,NR,NR,NR,0.388,-1.297,2.074,NR,Not positive,FALSE,,,TRUE
pneumonia klebsiella,2,44053,0,15130,59185,NR,NR,NR,NR,NR,NR,0.33,-2.357,3.017,NR,Not positive,FALSE,,,TRUE
respiratory tract infection viral,2,44053,0,15130,59185,NR,NR,NR,NR,NR,NR,0.33,-2.357,3.017,NR,Not positive,FALSE,,,TRUE
pneumonia influenzal,3,44052,0,15130,59185,NR,NR,NR,NR,NR,NR,0.357,-1.926,2.639,NR,Not positive,FALSE,,,TRUE
pneumonia staphylococcal,2,44053,0,15130,59185,NR,NR,NR,NR,NR,NR,0.33,-2.357,3.017,NR,Not positive,FALSE,,,TRUE
Other pulmonary infection terms (9 additional PTs),14,44041,0,15130,59185,NR,NR,NR,NR,NR,NR,0.409,-0.724,1.542,NR,Not positive,FALSE,,,TRUE
